"draw","cumulative","peakDebt","breakEven","year10Cost","northGrowth","southGrowth","ukPensionShare","ukDebtShare","reratingScope","interestRate","taxMultiplier","investmentOutputReturn","oneOffTransitionCost"
"822","4.39","21.66","13","2.14","4.8","3.0585","99.0096","99.0096","25","2.321","0.3324","0.1312","1.3825"
"823","140.24","98.17","","6.1","3.2292","1.8625","100","100","41.9647","4.7316","0.6912","0.0721","8.1247"
"824","511.64","358.15","","18.78","3.0717","2.4789","43.2504","43.2504","70.6313","3.6867","0.5063","0.0674","6.3872"
"825","279.82","195.87","","9.68","1.9778","2.2849","100","100","27.397","3.7917","0.5645","0.0354","4.9648"
"826","469.9","328.93","","16.41","2.7","2.4693","70.1821","70.1821","69.6096","4.0841","0.5092","0.0565","9.7689"
"827","298.46","208.92","","10.59","2.0207","2.2481","91.1026","91.1026","26.9954","3.6413","0.5756","0.0366","3.1953"
"828","302.01","211.41","","10.9","2.6228","2.4558","87.3908","87.3908","39.1492","3.603","0.5132","0.0543","5.3721"
"829","135.69","94.98","","5.85","3.3798","2.4849","96.3245","96.3245","25","3.3386","0.5045","0.0765","3.3968"
"830","358.82","251.18","","13.99","3.7482","2.2787","59.684","59.684","69.9616","4.1952","0.5664","0.0873","8.4405"
"831","231.09","161.76","","8.86","2.9663","2.6352","87.339","87.339","26.7259","3.0449","0.4594","0.0643","2.632"
"832","120.19","84.13","","6.54","4.8","3.1596","68.5869","68.5869","28.3391","2.0789","0.3021","0.1349","0.4758"
"833","58.35","45.63","21","4.06","4.8","2.9233","94.8228","94.8228","41.7799","3.139","0.373","0.1191","6.9461"
"834","297.89","208.53","","12.7","4.4444","2.6806","51.2773","51.2773","64.6234","3.3813","0.4458","0.1077","6.1404"
"835","266.49","186.54","","9.52","2.2556","2.0248","95.238","95.238","33.0843","4.1635","0.6426","0.0435","5.0887"
"836","215.08","150.55","","9.69","4.1411","2.4601","65.4816","65.4816","48.1686","3.4893","0.512","0.0988","4.4225"
"837","306.83","214.78","","10.97","2.6163","2.8829","90.1971","90.1971","36.0888","2.982","0.3851","0.0541","5.0746"
"838","474.51","332.16","","16.69","2.2591","2.5086","66.7353","66.7353","56.117","3.6404","0.4974","0.0436","6.339"
"839","247.63","173.34","","10.46","4.0417","2.7002","65.7172","65.7172","47.7652","3.1526","0.4399","0.0959","4.3653"
"840","411.96","288.37","","14.67","2.8022","2.8287","74.0352","74.0352","57.5985","3.3483","0.4014","0.0595","7.6425"
"841","193.54","135.48","","7.63","2.7941","1.9516","93.7598","93.7598","32.0241","4.2152","0.6645","0.0593","4.6575"
"842","148.19","103.73","","5.99","3.2248","2.4939","100","100","25","3.543","0.5018","0.0719","5.3046"
"843","299.18","209.42","","11.91","3.8009","2.6225","65.9255","65.9255","55.2343","3.4493","0.4632","0.0888","6.0364"
"844","189.3","132.51","","8.4","4.8","3.5","72.3156","72.3156","44.0227","2.0593","0.2","0.1236","4.4255"
"845","156.55","109.58","","7.09","3.7304","2.2067","88.0359","88.0359","44.1168","4.0796","0.588","0.0868","6.5514"
"846","626.82","438.77","","21.85","2.68","2.3277","44.9629","44.9629","87.6365","4.3457","0.5517","0.0559","10.3577"
"847","75.25","52.68","","4.3","3.6363","2.0702","100","100","33.9061","4.2423","0.629","0.084","6.331"
"848","278.4","194.88","","10.48","3.4489","2.8794","83.6449","83.6449","47.7207","3.178","0.3862","0.0785","6.7562"
"849","253","177.1","","9.33","2.9909","2.9484","92.2328","92.2328","32.1714","2.825","0.3655","0.0651","4.4854"
"850","271.78","190.24","","10.93","3.4833","2.7905","65.9982","65.9982","33.8011","2.6836","0.4128","0.0795","1.3308"
"851","55.08","39.51","23","3.68","4.191","2.7352","96.3096","96.3096","25","2.7927","0.4294","0.1003","1.6219"
"852","530.57","371.4","","18.66","2.1172","1.6072","52.7701","52.7701","61.438","4.8002","0.7678","0.0394","5.6395"
"853","-16.82","22.26","12","1.77","4.1327","2.1461","100","100","25","3.9274","0.6062","0.0986","4.4794"
"854","62.75","43.93","","3.68","4.153","2.8125","100","100","25","3.0021","0.4062","0.0992","4.3997"
"855","272.68","190.87","","11.63","4.037","2.3988","58.1526","58.1526","54.9508","3.6316","0.5304","0.0958","4.9331"
"856","315.59","220.91","","12","3.6617","2.6369","75.0257","75.0257","62.0435","3.7383","0.4589","0.0847","8.753"
"857","252.66","176.86","","10.84","4.4155","2.7506","64.0612","64.0612","60.2377","3.37","0.4248","0.1069","6.8875"
"858","179.32","125.52","","7.1","3.1722","2.3417","96.9602","96.9602","34.5504","3.7905","0.5475","0.0704","5.6419"
"859","109.47","76.63","","5.79","4.8","3.1337","83.8904","83.8904","39.7945","2.6338","0.3099","0.1202","5.0453"
"860","425.8","298.06","","13.99","1.8452","1.5","88.476","88.476","54.0388","5.8644","0.9","0.0315","8.7931"
"861","91.44","64.01","","4.64","3.8478","2.4582","100","100","34.1122","3.6741","0.5125","0.0902","6.0264"
"862","160.03","112.02","","7.44","4.2335","2.8332","76.9137","76.9137","35.8122","2.8413","0.4001","0.1015","3.235"
"863","277.91","194.54","","11.3","3.9489","2.7918","65.3349","65.3349","50.6197","3.0922","0.4125","0.0932","4.9421"
"864","517.54","362.28","","18.84","2.4509","2.4386","44.5126","44.5126","56.3209","3.4036","0.5184","0.0492","3.4079"
"865","150.21","105.15","","6.33","3.8171","2.5535","100","100","46.7935","3.8689","0.4839","0.0893","8.8939"
"866","469.71","328.8","","17.5","2.7894","1.8925","44.1996","44.1996","58.9147","4.2145","0.6823","0.0592","3.9367"
"867","46.45","34.75","21","3.32","4.0157","2.544","100","100","25","3.2267","0.4868","0.0951","3.1278"
"868","303.68","212.57","","12.19","3.5351","2.4084","61.1346","61.1346","47.6648","3.4816","0.5275","0.081","3.7295"
